,nodeA,nodeB
7033,Sullivan,Trump
7034,Sullivan,Trump
7035,Donald Trump,Robert Costa
7036,Robert Costa,Trump
7037,Robert Costa,Trump
7038,Donald Trump,Trump
7039,Donald Trump,Trump
7040,Trump,Trump
7041,J. Fred Buzhardt,Richard Nixon
7042,Bush,Jeb Bush
7043,Hillary Rodham Clinton,Jeb Bush
7044,Jeb Bush,Marco Rubio
7045,Jeb Bush,Rand Paul
7046,Jeb Bush,R-Ky.
7047,Jeb Bush,Mitt Romney
7048,Jeb Bush,Matthew Dowd
7049,George W. Bush’s,Jeb Bush
7050,Jeb Bush,Lawrence Mishel
7051,Jeb Bush,Jeb Bush
7052,Jeb Bush,Obama
7053,Bush,Jeb Bush
7054,Bush,Jeb Bush
7055,Clinton,Jeb Bush
7056,Clinton,Jeb Bush
7057,Elizabeth Warren,Jeb Bush
7058,Clinton,Jeb Bush
7059,Bush,Jeb Bush
7060,Jeb Bush,Yuval Levin
7061,Jeb Bush,Romney
7062,Jeb Bush,Levin
7063,Jeb Bush,Jeb Bush
7064,George W. Bush’s,Jeb Bush
7065,Jeb Bush,Neera Tanden
7066,Clinton,Jeb Bush
7067,Bush,Jeb Bush
7068,Grover Norquist,Jeb Bush
7069,Jeb Bush,William Galston
7070,Jeb Bush,Jeb Bush
7071,Galston,Jeb Bush
7072,Bill Clinton,Jeb Bush
7073,Bush,Jeb Bush
7074,Jeb Bush,Rick Santorum
7075,Jeb Bush,Mike Huckabee
7076,Jeb Bush,Paul Ryan
7077,Jeb Bush,R-Wis.
7078,Jeb Bush,Romney
7079,Jeb Bush,Ryan
7080,Jeb Bush,Romney
7081,Jared Bernstein,Jeb Bush
7082,Biden,Jeb Bush
7083,Bush,Jeb Bush
7084,Clinton,Jeb Bush
7085,Bernstein,Jeb Bush
7086,Bush,Hillary Rodham Clinton
7087,Bush,Marco Rubio
7088,Bush,Rand Paul
7089,Bush,R-Ky.
7090,Bush,Mitt Romney
7091,Bush,Matthew Dowd
7092,Bush,George W. Bush’s
7093,Bush,Lawrence Mishel
7094,Bush,Jeb Bush
7095,Bush,Obama
7096,Bush,Bush
7097,Bush,Bush
7098,Bush,Clinton
7099,Bush,Clinton
7100,Bush,Elizabeth Warren
7101,Bush,Clinton
7102,Bush,Bush
7103,Bush,Yuval Levin
7104,Bush,Romney
7105,Bush,Levin
7106,Bush,Jeb Bush
7107,Bush,George W. Bush’s
7108,Bush,Neera Tanden
7109,Bush,Clinton
7110,Bush,Bush
7111,Bush,Grover Norquist
7112,Bush,William Galston
7113,Bush,Jeb Bush
7114,Bush,Galston
7115,Bill Clinton,Bush
7116,Bush,Bush
7117,Bush,Rick Santorum
7118,Bush,Mike Huckabee
7119,Bush,Paul Ryan
7120,Bush,R-Wis.
7121,Bush,Romney
7122,Bush,Ryan
7123,Bush,Romney
7124,Bush,Jared Bernstein
7125,Biden,Bush
7126,Bush,Bush
7127,Bush,Clinton
7128,Bernstein,Bush
7129,Hillary Rodham Clinton,Marco Rubio
7130,Hillary Rodham Clinton,Rand Paul
7131,Hillary Rodham Clinton,R-Ky.
7132,Hillary Rodham Clinton,Mitt Romney
7133,Hillary Rodham Clinton,Matthew Dowd
7134,George W. Bush’s,Hillary Rodham Clinton
7135,Hillary Rodham Clinton,Lawrence Mishel
7136,Hillary Rodham Clinton,Jeb Bush
7137,Hillary Rodham Clinton,Obama
7138,Bush,Hillary Rodham Clinton
7139,Bush,Hillary Rodham Clinton
7140,Clinton,Hillary Rodham Clinton
7141,Clinton,Hillary Rodham Clinton
7142,Elizabeth Warren,Hillary Rodham Clinton
7143,Clinton,Hillary Rodham Clinton
7144,Bush,Hillary Rodham Clinton
7145,Hillary Rodham Clinton,Yuval Levin
7146,Hillary Rodham Clinton,Romney
7147,Hillary Rodham Clinton,Levin
7148,Hillary Rodham Clinton,Jeb Bush
7149,George W. Bush’s,Hillary Rodham Clinton
7150,Hillary Rodham Clinton,Neera Tanden
7151,Clinton,Hillary Rodham Clinton
7152,Bush,Hillary Rodham Clinton
7153,Grover Norquist,Hillary Rodham Clinton
7154,Hillary Rodham Clinton,William Galston
7155,Hillary Rodham Clinton,Jeb Bush
7156,Galston,Hillary Rodham Clinton
7157,Bill Clinton,Hillary Rodham Clinton
7158,Bush,Hillary Rodham Clinton
7159,Hillary Rodham Clinton,Rick Santorum
7160,Hillary Rodham Clinton,Mike Huckabee
7161,Hillary Rodham Clinton,Paul Ryan
7162,Hillary Rodham Clinton,R-Wis.
7163,Hillary Rodham Clinton,Romney
7164,Hillary Rodham Clinton,Ryan
7165,Hillary Rodham Clinton,Romney
7166,Hillary Rodham Clinton,Jared Bernstein
7167,Biden,Hillary Rodham Clinton
7168,Bush,Hillary Rodham Clinton
7169,Clinton,Hillary Rodham Clinton
7170,Bernstein,Hillary Rodham Clinton
7171,Marco Rubio,Rand Paul
7172,Marco Rubio,R-Ky.
7173,Marco Rubio,Mitt Romney
7174,Marco Rubio,Matthew Dowd
7175,George W. Bush’s,Marco Rubio
7176,Lawrence Mishel,Marco Rubio
7177,Jeb Bush,Marco Rubio
7178,Marco Rubio,Obama
7179,Bush,Marco Rubio
7180,Bush,Marco Rubio
7181,Clinton,Marco Rubio
7182,Clinton,Marco Rubio
7183,Elizabeth Warren,Marco Rubio
7184,Clinton,Marco Rubio
7185,Bush,Marco Rubio
7186,Marco Rubio,Yuval Levin
7187,Marco Rubio,Romney
7188,Levin,Marco Rubio
7189,Jeb Bush,Marco Rubio
7190,George W. Bush’s,Marco Rubio
7191,Marco Rubio,Neera Tanden
7192,Clinton,Marco Rubio
7193,Bush,Marco Rubio
7194,Grover Norquist,Marco Rubio
7195,Marco Rubio,William Galston
7196,Jeb Bush,Marco Rubio
7197,Galston,Marco Rubio
7198,Bill Clinton,Marco Rubio
7199,Bush,Marco Rubio
7200,Marco Rubio,Rick Santorum
7201,Marco Rubio,Mike Huckabee
7202,Marco Rubio,Paul Ryan
7203,Marco Rubio,R-Wis.
7204,Marco Rubio,Romney
7205,Marco Rubio,Ryan
7206,Marco Rubio,Romney
7207,Jared Bernstein,Marco Rubio
7208,Biden,Marco Rubio
7209,Bush,Marco Rubio
7210,Clinton,Marco Rubio
7211,Bernstein,Marco Rubio
7212,R-Ky.,Rand Paul
7213,Mitt Romney,Rand Paul
7214,Matthew Dowd,Rand Paul
7215,George W. Bush’s,Rand Paul
7216,Lawrence Mishel,Rand Paul
7217,Jeb Bush,Rand Paul
7218,Obama,Rand Paul
7219,Bush,Rand Paul
7220,Bush,Rand Paul
7221,Clinton,Rand Paul
7222,Clinton,Rand Paul
7223,Elizabeth Warren,Rand Paul
7224,Clinton,Rand Paul
7225,Bush,Rand Paul
7226,Rand Paul,Yuval Levin
7227,Rand Paul,Romney
7228,Levin,Rand Paul
7229,Jeb Bush,Rand Paul
7230,George W. Bush’s,Rand Paul
7231,Neera Tanden,Rand Paul
7232,Clinton,Rand Paul
7233,Bush,Rand Paul
7234,Grover Norquist,Rand Paul
7235,Rand Paul,William Galston
7236,Jeb Bush,Rand Paul
7237,Galston,Rand Paul
7238,Bill Clinton,Rand Paul
7239,Bush,Rand Paul
7240,Rand Paul,Rick Santorum
7241,Mike Huckabee,Rand Paul
7242,Paul Ryan,Rand Paul
7243,R-Wis.,Rand Paul
7244,Rand Paul,Romney
7245,Rand Paul,Ryan
7246,Rand Paul,Romney
7247,Jared Bernstein,Rand Paul
7248,Biden,Rand Paul
7249,Bush,Rand Paul
7250,Clinton,Rand Paul
7251,Bernstein,Rand Paul
7252,Mitt Romney,R-Ky.
7253,Matthew Dowd,R-Ky.
7254,George W. Bush’s,R-Ky.
7255,Lawrence Mishel,R-Ky.
7256,Jeb Bush,R-Ky.
7257,Obama,R-Ky.
7258,Bush,R-Ky.
7259,Bush,R-Ky.
7260,Clinton,R-Ky.
7261,Clinton,R-Ky.
7262,Elizabeth Warren,R-Ky.
7263,Clinton,R-Ky.
7264,Bush,R-Ky.
7265,R-Ky.,Yuval Levin
7266,R-Ky.,Romney
7267,Levin,R-Ky.
7268,Jeb Bush,R-Ky.
7269,George W. Bush’s,R-Ky.
7270,Neera Tanden,R-Ky.
7271,Clinton,R-Ky.
7272,Bush,R-Ky.
7273,Grover Norquist,R-Ky.
7274,R-Ky.,William Galston
7275,Jeb Bush,R-Ky.
7276,Galston,R-Ky.
7277,Bill Clinton,R-Ky.
7278,Bush,R-Ky.
7279,R-Ky.,Rick Santorum
7280,Mike Huckabee,R-Ky.
7281,Paul Ryan,R-Ky.
7282,R-Ky.,R-Wis.
7283,R-Ky.,Romney
7284,R-Ky.,Ryan
7285,R-Ky.,Romney
7286,Jared Bernstein,R-Ky.
7287,Biden,R-Ky.
7288,Bush,R-Ky.
7289,Clinton,R-Ky.
7290,Bernstein,R-Ky.
7291,Matthew Dowd,Mitt Romney
7292,George W. Bush’s,Mitt Romney
7293,Lawrence Mishel,Mitt Romney
7294,Jeb Bush,Mitt Romney
7295,Mitt Romney,Obama
7296,Bush,Mitt Romney
7297,Bush,Mitt Romney
7298,Clinton,Mitt Romney
7299,Clinton,Mitt Romney
7300,Elizabeth Warren,Mitt Romney
7301,Clinton,Mitt Romney
7302,Bush,Mitt Romney
7303,Mitt Romney,Yuval Levin
7304,Mitt Romney,Romney
7305,Levin,Mitt Romney
7306,Jeb Bush,Mitt Romney
7307,George W. Bush’s,Mitt Romney
7308,Mitt Romney,Neera Tanden
7309,Clinton,Mitt Romney
7310,Bush,Mitt Romney
7311,Grover Norquist,Mitt Romney
7312,Mitt Romney,William Galston
7313,Jeb Bush,Mitt Romney
7314,Galston,Mitt Romney
7315,Bill Clinton,Mitt Romney
7316,Bush,Mitt Romney
7317,Mitt Romney,Rick Santorum
7318,Mike Huckabee,Mitt Romney
7319,Mitt Romney,Paul Ryan
7320,Mitt Romney,R-Wis.
7321,Mitt Romney,Romney
7322,Mitt Romney,Ryan
7323,Mitt Romney,Romney
7324,Jared Bernstein,Mitt Romney
7325,Biden,Mitt Romney
7326,Bush,Mitt Romney
7327,Clinton,Mitt Romney
7328,Bernstein,Mitt Romney
7329,George W. Bush’s,Matthew Dowd
7330,Lawrence Mishel,Matthew Dowd
7331,Jeb Bush,Matthew Dowd
7332,Matthew Dowd,Obama
7333,Bush,Matthew Dowd
7334,Bush,Matthew Dowd
7335,Clinton,Matthew Dowd
7336,Clinton,Matthew Dowd
7337,Elizabeth Warren,Matthew Dowd
7338,Clinton,Matthew Dowd
7339,Bush,Matthew Dowd
7340,Matthew Dowd,Yuval Levin
7341,Matthew Dowd,Romney
7342,Levin,Matthew Dowd
7343,Jeb Bush,Matthew Dowd
7344,George W. Bush’s,Matthew Dowd
7345,Matthew Dowd,Neera Tanden
7346,Clinton,Matthew Dowd
7347,Bush,Matthew Dowd
7348,Grover Norquist,Matthew Dowd
7349,Matthew Dowd,William Galston
7350,Jeb Bush,Matthew Dowd
7351,Galston,Matthew Dowd
7352,Bill Clinton,Matthew Dowd
7353,Bush,Matthew Dowd
7354,Matthew Dowd,Rick Santorum
7355,Matthew Dowd,Mike Huckabee
7356,Matthew Dowd,Paul Ryan
7357,Matthew Dowd,R-Wis.
7358,Matthew Dowd,Romney
7359,Matthew Dowd,Ryan
7360,Matthew Dowd,Romney
7361,Jared Bernstein,Matthew Dowd
7362,Biden,Matthew Dowd
7363,Bush,Matthew Dowd
7364,Clinton,Matthew Dowd
7365,Bernstein,Matthew Dowd
7366,George W. Bush’s,Lawrence Mishel
7367,George W. Bush’s,Jeb Bush
7368,George W. Bush’s,Obama
7369,Bush,George W. Bush’s
7370,Bush,George W. Bush’s
7371,Clinton,George W. Bush’s
7372,Clinton,George W. Bush’s
7373,Elizabeth Warren,George W. Bush’s
7374,Clinton,George W. Bush’s
7375,Bush,George W. Bush’s
7376,George W. Bush’s,Yuval Levin
7377,George W. Bush’s,Romney
7378,George W. Bush’s,Levin
7379,George W. Bush’s,Jeb Bush
7380,George W. Bush’s,George W. Bush’s
7381,George W. Bush’s,Neera Tanden
7382,Clinton,George W. Bush’s
7383,Bush,George W. Bush’s
7384,George W. Bush’s,Grover Norquist
7385,George W. Bush’s,William Galston
7386,George W. Bush’s,Jeb Bush
7387,Galston,George W. Bush’s
7388,Bill Clinton,George W. Bush’s
7389,Bush,George W. Bush’s
7390,George W. Bush’s,Rick Santorum
7391,George W. Bush’s,Mike Huckabee
7392,George W. Bush’s,Paul Ryan
7393,George W. Bush’s,R-Wis.
7394,George W. Bush’s,Romney
7395,George W. Bush’s,Ryan
7396,George W. Bush’s,Romney
7397,George W. Bush’s,Jared Bernstein
7398,Biden,George W. Bush’s
7399,Bush,George W. Bush’s
7400,Clinton,George W. Bush’s
7401,Bernstein,George W. Bush’s
7402,Jeb Bush,Lawrence Mishel
7403,Lawrence Mishel,Obama
7404,Bush,Lawrence Mishel
7405,Bush,Lawrence Mishel
7406,Clinton,Lawrence Mishel
7407,Clinton,Lawrence Mishel
7408,Elizabeth Warren,Lawrence Mishel
7409,Clinton,Lawrence Mishel
7410,Bush,Lawrence Mishel
7411,Lawrence Mishel,Yuval Levin
7412,Lawrence Mishel,Romney
7413,Lawrence Mishel,Levin
7414,Jeb Bush,Lawrence Mishel
7415,George W. Bush’s,Lawrence Mishel
7416,Lawrence Mishel,Neera Tanden
7417,Clinton,Lawrence Mishel
7418,Bush,Lawrence Mishel
7419,Grover Norquist,Lawrence Mishel
7420,Lawrence Mishel,William Galston
7421,Jeb Bush,Lawrence Mishel
7422,Galston,Lawrence Mishel
7423,Bill Clinton,Lawrence Mishel
7424,Bush,Lawrence Mishel
7425,Lawrence Mishel,Rick Santorum
7426,Lawrence Mishel,Mike Huckabee
7427,Lawrence Mishel,Paul Ryan
7428,Lawrence Mishel,R-Wis.
7429,Lawrence Mishel,Romney
7430,Lawrence Mishel,Ryan
7431,Lawrence Mishel,Romney
7432,Jared Bernstein,Lawrence Mishel
7433,Biden,Lawrence Mishel
7434,Bush,Lawrence Mishel
7435,Clinton,Lawrence Mishel
7436,Bernstein,Lawrence Mishel
7437,Jeb Bush,Obama
7438,Bush,Jeb Bush
7439,Bush,Jeb Bush
7440,Clinton,Jeb Bush
7441,Clinton,Jeb Bush
7442,Elizabeth Warren,Jeb Bush
7443,Clinton,Jeb Bush
7444,Bush,Jeb Bush
7445,Jeb Bush,Yuval Levin
7446,Jeb Bush,Romney
7447,Jeb Bush,Levin
7448,Jeb Bush,Jeb Bush
7449,George W. Bush’s,Jeb Bush
7450,Jeb Bush,Neera Tanden
7451,Clinton,Jeb Bush
7452,Bush,Jeb Bush
7453,Grover Norquist,Jeb Bush
7454,Jeb Bush,William Galston
7455,Jeb Bush,Jeb Bush
7456,Galston,Jeb Bush
7457,Bill Clinton,Jeb Bush
7458,Bush,Jeb Bush
7459,Jeb Bush,Rick Santorum
7460,Jeb Bush,Mike Huckabee
7461,Jeb Bush,Paul Ryan
7462,Jeb Bush,R-Wis.
7463,Jeb Bush,Romney
7464,Jeb Bush,Ryan
7465,Jeb Bush,Romney
7466,Jared Bernstein,Jeb Bush
7467,Biden,Jeb Bush
7468,Bush,Jeb Bush
7469,Clinton,Jeb Bush
7470,Bernstein,Jeb Bush
7471,Bush,Obama
7472,Bush,Obama
7473,Clinton,Obama
7474,Clinton,Obama
7475,Elizabeth Warren,Obama
7476,Clinton,Obama
7477,Bush,Obama
7478,Obama,Yuval Levin
7479,Obama,Romney
7480,Levin,Obama
7481,Jeb Bush,Obama
7482,George W. Bush’s,Obama
7483,Neera Tanden,Obama
7484,Clinton,Obama
7485,Bush,Obama
7486,Grover Norquist,Obama
7487,Obama,William Galston
7488,Jeb Bush,Obama
7489,Galston,Obama
7490,Bill Clinton,Obama
7491,Bush,Obama
7492,Obama,Rick Santorum
7493,Mike Huckabee,Obama
7494,Obama,Paul Ryan
7495,Obama,R-Wis.
7496,Obama,Romney
7497,Obama,Ryan
7498,Obama,Romney
7499,Jared Bernstein,Obama
7500,Biden,Obama
7501,Bush,Obama
7502,Clinton,Obama
7503,Bernstein,Obama
7504,Bush,Bush
7505,Bush,Clinton
7506,Bush,Clinton
7507,Bush,Elizabeth Warren
7508,Bush,Clinton
7509,Bush,Bush
7510,Bush,Yuval Levin
7511,Bush,Romney
7512,Bush,Levin
7513,Bush,Jeb Bush
7514,Bush,George W. Bush’s
7515,Bush,Neera Tanden
7516,Bush,Clinton
7517,Bush,Bush
7518,Bush,Grover Norquist
7519,Bush,William Galston
7520,Bush,Jeb Bush
7521,Bush,Galston
7522,Bill Clinton,Bush
7523,Bush,Bush
7524,Bush,Rick Santorum
7525,Bush,Mike Huckabee
7526,Bush,Paul Ryan
7527,Bush,R-Wis.
7528,Bush,Romney
7529,Bush,Ryan
7530,Bush,Romney
7531,Bush,Jared Bernstein
7532,Biden,Bush
7533,Bush,Bush
7534,Bush,Clinton
7535,Bernstein,Bush
7536,Bush,Clinton
7537,Bush,Clinton
7538,Bush,Elizabeth Warren
7539,Bush,Clinton
7540,Bush,Bush
7541,Bush,Yuval Levin
7542,Bush,Romney
7543,Bush,Levin
7544,Bush,Jeb Bush
7545,Bush,George W. Bush’s
7546,Bush,Neera Tanden
7547,Bush,Clinton
7548,Bush,Bush
7549,Bush,Grover Norquist
7550,Bush,William Galston
7551,Bush,Jeb Bush
7552,Bush,Galston
7553,Bill Clinton,Bush
7554,Bush,Bush
7555,Bush,Rick Santorum
7556,Bush,Mike Huckabee
7557,Bush,Paul Ryan
7558,Bush,R-Wis.
7559,Bush,Romney
7560,Bush,Ryan
7561,Bush,Romney
7562,Bush,Jared Bernstein
7563,Biden,Bush
7564,Bush,Bush
7565,Bush,Clinton
7566,Bernstein,Bush
7567,Clinton,Clinton
7568,Clinton,Elizabeth Warren
7569,Clinton,Clinton
7570,Bush,Clinton
7571,Clinton,Yuval Levin
7572,Clinton,Romney
7573,Clinton,Levin
7574,Clinton,Jeb Bush
7575,Clinton,George W. Bush’s
7576,Clinton,Neera Tanden
7577,Clinton,Clinton
7578,Bush,Clinton
7579,Clinton,Grover Norquist
7580,Clinton,William Galston
7581,Clinton,Jeb Bush
7582,Clinton,Galston
7583,Bill Clinton,Clinton
7584,Bush,Clinton
7585,Clinton,Rick Santorum
7586,Clinton,Mike Huckabee
7587,Clinton,Paul Ryan
7588,Clinton,R-Wis.
7589,Clinton,Romney
7590,Clinton,Ryan
7591,Clinton,Romney
7592,Clinton,Jared Bernstein
7593,Biden,Clinton
7594,Bush,Clinton
7595,Clinton,Clinton
7596,Bernstein,Clinton
7597,Clinton,Elizabeth Warren
7598,Clinton,Clinton
7599,Bush,Clinton
7600,Clinton,Yuval Levin
7601,Clinton,Romney
7602,Clinton,Levin
7603,Clinton,Jeb Bush
7604,Clinton,George W. Bush’s
7605,Clinton,Neera Tanden
7606,Clinton,Clinton
7607,Bush,Clinton
7608,Clinton,Grover Norquist
7609,Clinton,William Galston
7610,Clinton,Jeb Bush
7611,Clinton,Galston
7612,Bill Clinton,Clinton
7613,Bush,Clinton
7614,Clinton,Rick Santorum
7615,Clinton,Mike Huckabee
7616,Clinton,Paul Ryan
7617,Clinton,R-Wis.
7618,Clinton,Romney
7619,Clinton,Ryan
7620,Clinton,Romney
7621,Clinton,Jared Bernstein
7622,Biden,Clinton
7623,Bush,Clinton
7624,Clinton,Clinton
7625,Bernstein,Clinton
7626,Clinton,Elizabeth Warren
7627,Bush,Elizabeth Warren
7628,Elizabeth Warren,Yuval Levin
7629,Elizabeth Warren,Romney
7630,Elizabeth Warren,Levin
7631,Elizabeth Warren,Jeb Bush
7632,Elizabeth Warren,George W. Bush’s
7633,Elizabeth Warren,Neera Tanden
7634,Clinton,Elizabeth Warren
7635,Bush,Elizabeth Warren
7636,Elizabeth Warren,Grover Norquist
7637,Elizabeth Warren,William Galston
7638,Elizabeth Warren,Jeb Bush
7639,Elizabeth Warren,Galston
7640,Bill Clinton,Elizabeth Warren
7641,Bush,Elizabeth Warren
7642,Elizabeth Warren,Rick Santorum
7643,Elizabeth Warren,Mike Huckabee
7644,Elizabeth Warren,Paul Ryan
7645,Elizabeth Warren,R-Wis.
7646,Elizabeth Warren,Romney
7647,Elizabeth Warren,Ryan
7648,Elizabeth Warren,Romney
7649,Elizabeth Warren,Jared Bernstein
7650,Biden,Elizabeth Warren
7651,Bush,Elizabeth Warren
7652,Clinton,Elizabeth Warren
7653,Bernstein,Elizabeth Warren
7654,Bush,Clinton
7655,Clinton,Yuval Levin
7656,Clinton,Romney
7657,Clinton,Levin
7658,Clinton,Jeb Bush
7659,Clinton,George W. Bush’s
7660,Clinton,Neera Tanden
7661,Clinton,Clinton
7662,Bush,Clinton
7663,Clinton,Grover Norquist
7664,Clinton,William Galston
7665,Clinton,Jeb Bush
7666,Clinton,Galston
7667,Bill Clinton,Clinton
7668,Bush,Clinton
7669,Clinton,Rick Santorum
7670,Clinton,Mike Huckabee
7671,Clinton,Paul Ryan
7672,Clinton,R-Wis.
7673,Clinton,Romney
7674,Clinton,Ryan
7675,Clinton,Romney
7676,Clinton,Jared Bernstein
7677,Biden,Clinton
7678,Bush,Clinton
7679,Clinton,Clinton
7680,Bernstein,Clinton
7681,Bush,Yuval Levin
7682,Bush,Romney
7683,Bush,Levin
7684,Bush,Jeb Bush
7685,Bush,George W. Bush’s
7686,Bush,Neera Tanden
7687,Bush,Clinton
7688,Bush,Bush
7689,Bush,Grover Norquist
7690,Bush,William Galston
7691,Bush,Jeb Bush
7692,Bush,Galston
7693,Bill Clinton,Bush
7694,Bush,Bush
7695,Bush,Rick Santorum
7696,Bush,Mike Huckabee
7697,Bush,Paul Ryan
7698,Bush,R-Wis.
7699,Bush,Romney
7700,Bush,Ryan
7701,Bush,Romney
7702,Bush,Jared Bernstein
7703,Biden,Bush
7704,Bush,Bush
7705,Bush,Clinton
7706,Bernstein,Bush
7707,Romney,Yuval Levin
7708,Levin,Yuval Levin
7709,Jeb Bush,Yuval Levin
7710,George W. Bush’s,Yuval Levin
7711,Neera Tanden,Yuval Levin
7712,Clinton,Yuval Levin
7713,Bush,Yuval Levin
7714,Grover Norquist,Yuval Levin
7715,William Galston,Yuval Levin
7716,Jeb Bush,Yuval Levin
7717,Galston,Yuval Levin
7718,Bill Clinton,Yuval Levin
7719,Bush,Yuval Levin
7720,Rick Santorum,Yuval Levin
7721,Mike Huckabee,Yuval Levin
7722,Paul Ryan,Yuval Levin
7723,R-Wis.,Yuval Levin
7724,Romney,Yuval Levin
7725,Ryan,Yuval Levin
7726,Romney,Yuval Levin
7727,Jared Bernstein,Yuval Levin
7728,Biden,Yuval Levin
7729,Bush,Yuval Levin
7730,Clinton,Yuval Levin
7731,Bernstein,Yuval Levin
7732,Levin,Romney
7733,Jeb Bush,Romney
7734,George W. Bush’s,Romney
7735,Neera Tanden,Romney
7736,Clinton,Romney
7737,Bush,Romney
7738,Grover Norquist,Romney
7739,Romney,William Galston
7740,Jeb Bush,Romney
7741,Galston,Romney
7742,Bill Clinton,Romney
7743,Bush,Romney
7744,Rick Santorum,Romney
7745,Mike Huckabee,Romney
7746,Paul Ryan,Romney
7747,R-Wis.,Romney
7748,Romney,Romney
7749,Romney,Ryan
7750,Romney,Romney
7751,Jared Bernstein,Romney
7752,Biden,Romney
7753,Bush,Romney
7754,Clinton,Romney
7755,Bernstein,Romney
7756,Jeb Bush,Levin
7757,George W. Bush’s,Levin
7758,Levin,Neera Tanden
7759,Clinton,Levin
7760,Bush,Levin
7761,Grover Norquist,Levin
7762,Levin,William Galston
7763,Jeb Bush,Levin
7764,Galston,Levin
7765,Bill Clinton,Levin
7766,Bush,Levin
7767,Levin,Rick Santorum
7768,Levin,Mike Huckabee
7769,Levin,Paul Ryan
7770,Levin,R-Wis.
7771,Levin,Romney
7772,Levin,Ryan
7773,Levin,Romney
7774,Jared Bernstein,Levin
7775,Biden,Levin
7776,Bush,Levin
7777,Clinton,Levin
7778,Bernstein,Levin
7779,George W. Bush’s,Jeb Bush
7780,Jeb Bush,Neera Tanden
7781,Clinton,Jeb Bush
7782,Bush,Jeb Bush
7783,Grover Norquist,Jeb Bush
7784,Jeb Bush,William Galston
7785,Jeb Bush,Jeb Bush
7786,Galston,Jeb Bush
7787,Bill Clinton,Jeb Bush
7788,Bush,Jeb Bush
7789,Jeb Bush,Rick Santorum
7790,Jeb Bush,Mike Huckabee
7791,Jeb Bush,Paul Ryan
7792,Jeb Bush,R-Wis.
7793,Jeb Bush,Romney
7794,Jeb Bush,Ryan
7795,Jeb Bush,Romney
7796,Jared Bernstein,Jeb Bush
7797,Biden,Jeb Bush
7798,Bush,Jeb Bush
7799,Clinton,Jeb Bush
7800,Bernstein,Jeb Bush
7801,George W. Bush’s,Neera Tanden
7802,Clinton,George W. Bush’s
7803,Bush,George W. Bush’s
7804,George W. Bush’s,Grover Norquist
7805,George W. Bush’s,William Galston
7806,George W. Bush’s,Jeb Bush
7807,Galston,George W. Bush’s
7808,Bill Clinton,George W. Bush’s
7809,Bush,George W. Bush’s
7810,George W. Bush’s,Rick Santorum
7811,George W. Bush’s,Mike Huckabee
7812,George W. Bush’s,Paul Ryan
7813,George W. Bush’s,R-Wis.
7814,George W. Bush’s,Romney
7815,George W. Bush’s,Ryan
7816,George W. Bush’s,Romney
7817,George W. Bush’s,Jared Bernstein
7818,Biden,George W. Bush’s
7819,Bush,George W. Bush’s
7820,Clinton,George W. Bush’s
7821,Bernstein,George W. Bush’s
7822,Clinton,Neera Tanden
7823,Bush,Neera Tanden
7824,Grover Norquist,Neera Tanden
7825,Neera Tanden,William Galston
7826,Jeb Bush,Neera Tanden
7827,Galston,Neera Tanden
7828,Bill Clinton,Neera Tanden
7829,Bush,Neera Tanden
7830,Neera Tanden,Rick Santorum
7831,Mike Huckabee,Neera Tanden
7832,Neera Tanden,Paul Ryan
7833,Neera Tanden,R-Wis.
7834,Neera Tanden,Romney
7835,Neera Tanden,Ryan
7836,Neera Tanden,Romney
7837,Jared Bernstein,Neera Tanden
7838,Biden,Neera Tanden
7839,Bush,Neera Tanden
7840,Clinton,Neera Tanden
7841,Bernstein,Neera Tanden
7842,Bush,Clinton
7843,Clinton,Grover Norquist
7844,Clinton,William Galston
7845,Clinton,Jeb Bush
7846,Clinton,Galston
7847,Bill Clinton,Clinton
7848,Bush,Clinton
7849,Clinton,Rick Santorum
7850,Clinton,Mike Huckabee
7851,Clinton,Paul Ryan
7852,Clinton,R-Wis.
7853,Clinton,Romney
7854,Clinton,Ryan
7855,Clinton,Romney
7856,Clinton,Jared Bernstein
7857,Biden,Clinton
7858,Bush,Clinton
7859,Clinton,Clinton
7860,Bernstein,Clinton
7861,Bush,Grover Norquist
7862,Bush,William Galston
7863,Bush,Jeb Bush
7864,Bush,Galston
7865,Bill Clinton,Bush
7866,Bush,Bush
7867,Bush,Rick Santorum
7868,Bush,Mike Huckabee
7869,Bush,Paul Ryan
7870,Bush,R-Wis.
7871,Bush,Romney
7872,Bush,Ryan
7873,Bush,Romney
7874,Bush,Jared Bernstein
7875,Biden,Bush
7876,Bush,Bush
7877,Bush,Clinton
7878,Bernstein,Bush
7879,Grover Norquist,William Galston
7880,Grover Norquist,Jeb Bush
7881,Galston,Grover Norquist
7882,Bill Clinton,Grover Norquist
7883,Bush,Grover Norquist
7884,Grover Norquist,Rick Santorum
7885,Grover Norquist,Mike Huckabee
7886,Grover Norquist,Paul Ryan
7887,Grover Norquist,R-Wis.
7888,Grover Norquist,Romney
7889,Grover Norquist,Ryan
7890,Grover Norquist,Romney
7891,Grover Norquist,Jared Bernstein
7892,Biden,Grover Norquist
7893,Bush,Grover Norquist
7894,Clinton,Grover Norquist
7895,Bernstein,Grover Norquist
7896,Jeb Bush,William Galston
7897,Galston,William Galston
7898,Bill Clinton,William Galston
7899,Bush,William Galston
7900,Rick Santorum,William Galston
