,nodeA,nodeB
211,Cruz,Kasich
212,Clinton,Cruz
213,Clinton,Kasich
214,Dubbed,Nicholas Winton
215,Dubbed,Queen Elizabeth II
216,Nicholas Winton,Queen Elizabeth II
217,Donald Trump,Hillary Clinton
218,Clinton,Hillary Clinton
219,Hillary Clinton,Trump
220,Hillary Clinton,Trump
221,Hillary Clinton,Obama
222,Hillary Clinton,Trump
223,Clinton,Hillary Clinton
224,Clinton,Hillary Clinton
225,Hillary Clinton,Moammar Gadhafi
226,Clinton,Hillary Clinton
227,Clinton,Hillary Clinton
228,Clinton,Hillary Clinton
229,Hillary Clinton,Matt Lauer
230,Clinton,Hillary Clinton
231,Hillary Clinton,Trump
232,Hillary Clinton,Howard Stern
233,Hillary Clinton,Trump
234,Clinton,Hillary Clinton
235,Clinton,Hillary Clinton
236,Clinton,Hillary Clinton
237,Hillary Clinton,Neil Cavuto
238,Cavuto,Hillary Clinton
239,Hillary Clinton,Trump
240,Chris Matthews,Hillary Clinton
241,Hillary Clinton,Joe Scarborough
242,Donald Trump,Hillary Clinton
243,Hillary Clinton,Obama
244,George W. Bush,Hillary Clinton
245,Hillary Clinton,Matt Lauer
246,Bush,Hillary Clinton
247,Bush,Hillary Clinton
248,Condoleezza Rice,Hillary Clinton
249,Bush,Hillary Clinton
250,Bush,Hillary Clinton
251,Hillary Clinton,Nouri al-Maliki
252,Hillary Clinton,Leon Panetta
253,Hillary Clinton,Maliki
254,Hillary Clinton,Raul Castro
255,Hillary Clinton,Salman
256,Hillary Clinton,Ronald Reagan
257,Hillary Clinton,Reagan
258,Helmut Kohl,Hillary Clinton
259,Glenn Kessler,Hillary Clinton
260,Hillary Clinton,Kessler
261,Hillary Clinton,Richard Nixon
262,Hillary Clinton,Zhou Enlai
263,Hillary Clinton,Mao
264,Hillary Clinton,Nixon
265,Clinton,Hillary Clinton
266,Clinton,Hillary Clinton
267,Hillary Clinton,Obama
268,Hillary Clinton,Trump
269,Clinton,Hillary Clinton
270,Hillary Clinton,Moammar Gadhafi
271,Hillary Clinton,Lauer
272,Hillary Clinton,Ted Cruz
273,Gadhafi,Hillary Clinton
274,Clinton,Hillary Clinton
275,Gadhafi,Hillary Clinton
276,Clinton,Hillary Clinton
277,Clinton,Hillary Clinton
278,Clinton,Hillary Clinton
279,Clinton,Hillary Clinton
280,Clinton,Hillary Clinton
281,Clinton,Hillary Clinton
282,Hillary Clinton,Rachel Maddow
283,Hillary Clinton,Maddow
284,Hillary Clinton,Maddow
285,Clinton,Hillary Clinton
286,Clinton,Hillary Clinton
287,Clinton,Hillary Clinton
288,Clinton,Hillary Clinton
289,Clinton,Hillary Clinton
290,Clinton,Hillary Clinton
291,Clinton,Hillary Clinton
292,Clinton,Hillary Clinton
293,Clinton,Hillary Clinton
294,Clinton,Hillary Clinton
295,Clinton,Hillary Clinton
296,Clinton,Donald Trump
297,Donald Trump,Trump
298,Donald Trump,Trump
299,Donald Trump,Obama
300,Donald Trump,Trump
301,Clinton,Donald Trump
302,Clinton,Donald Trump
303,Donald Trump,Moammar Gadhafi
304,Clinton,Donald Trump
305,Clinton,Donald Trump
306,Clinton,Donald Trump
307,Donald Trump,Matt Lauer
308,Clinton,Donald Trump
